document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes,,,,,
74673,https://doi.org/10.1145/3578337.3605143,71676,https://github.com/dayuyang1999/zeqr,64963,https://github.com/dayuyang1999,https://github.com/dayuyang1999/zeqr/commits?author=dayuyang1999,2,4,2,2,4,2,code,yes,,first author ,,,,,
38194,https://doi.org/10.1109/lra.2022.3190076,36490,https://github.com/ivalab/mmf,40751,https://github.com/parthsuresh,https://github.com/ivalab/mmf/commits?author=parthsuresh,1,208,0,920,317614,369238,code,no,,,,,,,
43985,https://doi.org/10.1371/journal.pbio.2002226,42029,https://github.com/ianiinn/cmc,70967,https://github.com/IaniiNN,https://github.com/ianiinn/cmc/commits?author=IaniiNN,1,1992,0,1,1992,0,code,unclear,,repo owner,,,,,
75060,https://doi.org/10.1109/IROS51168.2021.9636018,72058,https://github.com/fiveai/ros_comm,91046,https://github.com/tfoote,https://github.com/fiveai/ros_comm/commits?author=tfoote,61,168586,19693,935,290861,135405,code,no,,,,,,,
133709,https://doi.org/10.1109/WACV45572.2020.9093351,129934,https://github.com/stringtron/quantative_style,151088,https://github.com/stringtron1,https://github.com/stringtron/quantative_style/commits?author=stringtron1,34,5910,5372,126,19677,5625,code,unclear,,repo owner,,,,,
20801,https://doi.org/10.1007/s11263-024-02142-3,19949,https://github.com/jasongief/vplan,41387,https://github.com/jasongief,https://github.com/jasongief/vplan/commits?author=jasongief,5,7,5,5,7,5,code,yes,,first author ,,,,,
50992,https://doi.org/10.1145/3555776.3578612,48797,https://github.com/mlandcv/multipathgan,3937,https://github.com/mlandcv,https://github.com/mlandcv/multipathgan/commits?author=mlandcv,43,884,59,43,884,59,code,unclear,,repo owner,,,,,
135668,https://doi.org/10.48550/arxiv.2111.00243,131891,https://github.com/govindjsk/catsetmat,152464,https://github.com/govindjsk,https://github.com/govindjsk/catsetmat/commits?author=govindjsk,50,9029,2711,50,9029,2711,code,yes,,first author repo owner,,,,,
4337,https://doi.org/10.1145/3581791.3596842,4118,https://github.com/ubiquitouslearning/nnv12,7935,https://github.com/eric612,https://github.com/ubiquitouslearning/nnv12/commits?author=eric612,6,1137,203,2096,811977,287467,code,no,,,,,,,
119721,https://doi.org/10.1109/TSE.2024.3382361,116024,https://github.com/livable01/livable,140516,https://github.com/LIVABLE01,https://github.com/livable01/livable/commits?author=LIVABLE01,7,2474,9,14,3572,57,code,unclear,,This is the project GH account ,,,,,
90352,https://doi.org/10.1109/CIG.2019.8848044,87045,https://github.com/gaigresearch/learningfm,56282,https://github.com/GAIGResearch,https://github.com/gaigresearch/learningfm/commits?author=GAIGResearch,2,9892,0,2,9892,0,code,unclear,,Lab account ,,,,,
156124,https://doi.org/10.1145/3543507.3583286,152415,https://github.com/zzhin/ccfcrec,166967,https://github.com/georgezzzh,https://github.com/zzhin/ccfcrec/commits?author=georgezzzh,7,1163,19,7,1163,19,code,unclear,,Repo owner,,,,,
151061,https://doi.org/10.1016/j.jocs.2024.102265,147305,https://github.com/aalto-cfd/dnslabib,163607,https://github.com/mjuko,https://github.com/aalto-cfd/dnslabib/commits?author=mjuko,7,2260,68,8,2934,68,code,unclear,,First author ,,,,,
54275,https://doi.org/10.1103/PhysRevD.107.036004,51915,https://github.com/harvard-neutrino/dayabaysteriledecoherence,82826,https://github.com/jsalvado,https://github.com/harvard-neutrino/dayabaysteriledecoherence/commits?author=jsalvado,3,8,6,100,1081461,455447,doc,yes,,,,,,,
154115,https://doi.org/10.18653/v1/2021.acl-short.22,150400,https://github.com/nitishgupta/allennlp-semparse,165688,https://github.com/tedgoddard,https://github.com/nitishgupta/allennlp-semparse/commits?author=tedgoddard,1,218,249,49,55603,26224,code,no,,,,,,,
157261,https://doi.org/10.1016/J.SOFTX.2019.100253,153540,https://github.com/elseviersoftwarex/softx_2018_244,168486,https://github.com/b-schaefer,https://github.com/elseviersoftwarex/softx_2018_244/commits?author=b-schaefer,1,2,0,1471,225401,195287,code,no,,,,,,,
79854,https://doi.org/10.1007/978-3-030-45190-5_25,76742,https://github.com/leslieaj/otalearning,108083,https://github.com/Leslieaj,https://github.com/leslieaj/otalearning/commits?author=Leslieaj,101,9686,1774,102,9687,1775,code,yes,,First author repo owner,,,,,
27555,https://doi.org/10.1145/3459637.3482177,26387,https://github.com/tedzhouhk/sedyt,4570,https://github.com/tedzhouhk,https://github.com/tedzhouhk/sedyt/commits?author=tedzhouhk,51,4287682,2733,56,4288026,2734,code,yes,,First author repo owner,Does the matching algorithm check for display name? ,,,,
63487,https://doi.org/10.1109/CVPR52729.2023.01510,60778,https://github.com/sndnyang/sadajem,34476,https://github.com/sndnyang,https://github.com/sndnyang/sadajem/commits?author=sndnyang,1,4517,0,1,4517,0,code,yes,,First author repo owner,,,,,
61422,https://doi.org/10.1088/1367-2630/ac54c9,58806,https://github.com/pik-icone/paper-companion_predicting-snbs-using-gnn,44312,https://github.com/chrisn-pik,https://github.com/pik-icone/paper-companion_predicting-snbs-using-gnn/commits?author=chrisn-pik,7,2059,70,7,2059,70,code,unclear,,Likely first author ,,,,,
156180,https://doi.org/10.1109/CVPR52729.2023.01886,152466,https://github.com/astaxanthin/adasp,66771,https://github.com/Astaxanthin,https://github.com/astaxanthin/adasp/commits?author=Astaxanthin,13,91254,14,13,91254,14,code,unclear,,Repo owner,,,,,
113920,https://doi.org/10.1145/3580305.3599762,110222,https://github.com/xaiseries/lexnet,33734,https://github.com/XAIseries,https://github.com/xaiseries/lexnet/commits?author=XAIseries,5,2904,19,5,2904,19,code,unclear,,Project account,,,,,
73112,https://doi.org/10.1088/1748-0221/17/10/P10004,70120,https://github.com/babisograph/graph_pooling_networks,101764,https://github.com/BaBiSoGraph,https://github.com/babisograph/graph_pooling_networks/commits?author=BaBiSoGraph,2,269,1,2,269,1,code,unclear,,Project account ,,,,,
39565,https://doi.org/10.1093/mnras/stab1296,37796,https://github.com/oliverphilcox/keplers-goat-herd,65551,https://github.com/ajtribick,https://github.com/oliverphilcox/keplers-goat-herd/commits?author=ajtribick,1,396,0,12,456,21,code,no,,,,,,,
66577,https://doi.org/10.1145/3447548.3467152,63796,https://github.com/pavelvesely/t-digest,95455,https://github.com/emlyn,https://github.com/pavelvesely/t-digest/commits?author=emlyn,1,7,7,395,2740105,2667949,doc,no,,,,,,,
