document_id,document_atypicality_score,document_atypicality_z_score,document_repository_link_id,repository_id,dataset_source_id,predictive_model_confidence,document_doi,document_open_alex_id,document_title,document_publication_date,document_cited_by_count,document_fwci,document_citation_normalized_percentile,document_document_type,document_is_open_access,document_open_access_status,document_primary_location_id,document_best_open_access_location_id,document_created_datetime,document_updated_datetime,repository_code_host_id,repository_owner,repository_name,repository_description,repository_is_fork,repository_forks_count,repository_stargazers_count,repository_watchers_count,repository_open_issues_count,repository_commits_count,repository_size_kb,repository_topics,repository_primary_language,repository_default_branch,repository_license,repository_processed_at_sha,repository_creation_datetime,repository_last_pushed_datetime,repository_created_datetime,repository_updated_datetime,document_field_name,document_domain_name,document_author_count,document_author_mean_citations,document_log_author_mean_citations,document_publication_date_parsed,document_publication_year,document_years_since_earliest,document_field_name_pruned,ecosystem_label,num_unique_software_imported,document_log_cited_by_count,document_log_fwci
165690,0.8748442,1.5285918,171758,162483,2,,10.1371/journal.pone.0219235,https://openalex.org/W2994801819,Exploring thematic structure and predicted functionality of 16S rRNA amplicon data,2019-12-11,25,1.85491814,0.83411422,article,1,gold,184953,184953,2026-02-08 17:55:19,,1,eesi,exploring_thematic_structure,,0,0,2,2,0,3,239,,R,master,,06f7ea096c31dbb63b09fc117ee22411e52ab60e,2019-10-23 02:54:54.000000,2019-10-23 03:02:42.000000,2026-02-08 17:55:19,,"Biochemistry, Genetics and Molecular Biology",Life Sciences,6,3827.6666666666665,8.250271892756132,2019-12-11,2019,11,"Biochemistry, Genetics and Molecular Biology",cross-ecosystem,55,3.2188758248682006,0.6178405657056149
391920,0.86261696,1.4027175,398963,385779,6,0.9997050166130066,10.1038/s41467-024-49790-0,https://openalex.org/W4400482531,Single cell transcriptomes and multiscale networks from persons with and without Alzheimer’s disease,2024-07-10,23,5.7126,0.96946803,article,1,gold,429646,429646,2026-03-02 07:28:59,,1,qwang178,banner_snrnaseq_sfg,,0,0,1,1,0,18,71,,R,master,,9ad1ece101d854daf42f1182b0455e02ab59fec6,2024-02-09 22:53:46.000000,2024-08-21 17:48:32.000000,2026-03-02 07:29:00,,"Biochemistry, Genetics and Molecular Biology",Life Sciences,18,31191.833333333332,10.34794364655759,2024-07-10,2024,16,"Biochemistry, Genetics and Molecular Biology",cross-ecosystem,45,3.1354942159291497,1.7426742615375637
467410,0.86163646,1.3926237,474629,461445,6,0.999742329120636,10.1186/s13059-025-03499-5,https://openalex.org/W4408457120,"A single-nucleus and spatial transcriptomic atlas of the COVID-19 liver reveals topological, functional, and regenerative organ disruption in patients",2025-03-14,6,4.1873,0.93536379,article,1,gold,511402,511402,2026-03-22 12:04:46,,1,ivlachos,covid19-liver,,0,2,1,1,0,91,53374,,R,main,MIT License,7579862e6854b487bec19be5873a945b27c82a2d,2024-12-11 18:40:46.000000,2024-12-23 18:13:25.000000,2026-03-22 12:04:46,,"Biochemistry, Genetics and Molecular Biology",Life Sciences,68,13342.514705882353,9.498785755972746,2025-03-14,2025,17,"Biochemistry, Genetics and Molecular Biology",cross-ecosystem,58,1.791759469228055,1.4320561348165528
371472,0.8611476,1.3875909,378515,365331,6,0.9997507929801941,10.1088/1748-9326/ab6562,https://openalex.org/W2997465055,Monitoring hydropower reliability in Malawi with satellite data and machine learning,2019-12-24,20,1.5327,0.82615197,article,1,gold,407716,407716,2026-03-01 03:57:19,,1,giacfalk,hydropower_remotesensing,Monitoring hydropower reliability in Malawi with satellite data and machine learning,0,5,5,5,2,12,99592,hydroelectricity;malawi;nexus;satellite-data;vulnerability,R,master,GNU General Public License v3.0,77032f07da5e7699c65d6dc096cd61f9a709670d,2019-08-20 08:48:08.000000,2019-11-30 10:13:15.000000,2026-03-01 03:57:19,,Environmental Science,Physical Sciences,3,1764.3333333333333,7.4760948089487345,2019-12-24,2019,11,Other,cross-ecosystem,55,2.995732273553991,0.4270308860227249
383441,0.8606522,1.3824912,390484,377300,6,0.9997257590293884,10.1021/acs.jcim.0c00200,https://openalex.org/W3039711511,Benchmarking 2D/3D/MD-QSAR Models for Imatinib Derivatives: How Far Can We Predict?,2020-07-05,22,1.6804,0.82814548,article,0,closed,420580,,2026-03-01 16:38:35,,1,aborrel,mdqsar-imatinib,Scripts used to build the dataset used for the MD QSAR analysis.,0,2,4,4,0,74,1493,,Python,master,,7e1c0271d0c9c6701290a89e60eb07f638e98d3e,2020-03-30 10:18:36.000000,2020-04-16 19:13:07.000000,2026-03-01 16:38:35,,Chemistry,Physical Sciences,3,4325.666666666667,8.37255270158997,2020-07-05,2020,12,Other,cross-ecosystem,39,3.091042453358316,0.5190318603130899
487638,0.86021346,1.3779745,494880,481696,6,0.9994274377822876,10.1038/s42003-023-05237-8,https://openalex.org/W4385971470,Bacterial bioindicators enable biological status classification along the continental Danube river,2023-08-18,26,6.5402,0.97032747,article,1,gold,532995,532995,2026-03-25 09:10:32,,1,alper1976,danube_indicators,,0,0,0,0,0,20,587,,R,main,,2f97d82598f9880a15d27d4da0ca7ea3c4d3a5cd,2023-05-11 15:02:34.000000,2025-11-19 14:46:46.000000,2026-03-25 09:10:32,,Environmental Science,Physical Sciences,7,4535.285714285715,8.419863831582143,2023-08-18,2023,15,Other,cross-ecosystem,49,3.258096538021482,1.8779677460412723
164503,0.85992014,1.3749549,170568,161322,2,,10.1371/journal.pmed.1002750,https://openalex.org/W2916872998,Patterns of joint involvement in juvenile idiopathic arthritis and prediction of disease course: A prospective study with multilayer non-negative matrix factorization,2019-02-26,55,5.84167078,0.95087031,article,1,gold,183766,183766,2026-02-08 17:26:53,,1,morrislab,plos-medicine-joint-patterns,"Source code for the juvenile idiopathic arthritis joint patterns paper published in PLOS Medicine, 2019.",0,0,1,1,0,1,360,,Python,master,MIT License,cfdc6dd4854ec33e7e2efbf36d648b65d278df33,2019-01-18 19:36:59.000000,2019-01-18 19:38:32.000000,2026-02-08 17:26:53,,Medicine,Health Sciences,7,17566.428571428572,9.773801817108383,2019-02-26,2019,11,Medicine,cross-ecosystem,50,4.007333185232471,1.7650168483892434
29519,0.8598393,1.3741229,29737,28165,1,,10.1109/cvprw63382.2024.00545,https://openalex.org/W4402916584,HarvestNet: A Dataset for Detecting Smallholder Farming Activity Using Harvest Piles and Remote Sensing,2024-06-17,3,2.20855152,0.78511872,article,0,closed,32949,,2026-02-02 20:49:31,,1,jonxuxu,harvest-piles,,0,1,8,8,0,35,8800,,Jupyter Notebook,master,,4642c237c7b71ac6daa6acbb77e047d051e053d0,2023-08-02 05:09:18.000000,2024-02-23 20:14:03.000000,2026-02-02 20:49:31,,Agricultural and Biological Sciences,Life Sciences,8,11312.125,9.333718835100818,2024-06-17,2024,16,Other,cross-ecosystem,48,1.0986122886681098,0.7923368798330624
432909,0.8596077,1.3717384,440110,426926,6,0.9994834661483765,10.1016/j.conctc.2024.101394,https://openalex.org/W4404514621,Noninvasive anatomical assessment for ruling out hemodynamically relevant coronary artery anomalies in adults – A comparison of coronary-CT to invasive coronary angiography: The NARCO study design,2024-11-19,6,2.6025,0.90652945,article,1,gold,474148,474148,2026-03-19 19:05:29,,1,ai-in-cardiovascular-medicine,narco_analysis,,0,0,0,0,0,40,400,,R,master,,ca521316317226d5ed58475fa6f5c47db47690dc,2024-01-26 17:09:10.000000,2025-07-01 18:42:32.000000,2026-03-19 19:05:29,,Medicine,Health Sciences,12,3780.6666666666665,8.237920108545833,2024-11-19,2024,16,Medicine,cross-ecosystem,31,1.791759469228055,0.9564725215069869
318902,0.85942703,1.3698786,325913,312729,6,0.9997389912605286,10.1038/s41540-024-00341-9,https://openalex.org/W4391311792,AutoTransOP: translating omics signatures without orthologue requirements using deep learning,2024-01-29,5,1.2503,0.77290819,article,1,gold,351060,351060,2026-02-25 11:16:24,,1,lauffenburger-lab,omictranslationbenchmark,,0,0,5,5,0,191,482386,,Jupyter Notebook,main,MIT License,0e7e19dfb2f187ef4968bc54bb899d41b713b42c,2022-08-12 10:42:57.000000,2024-08-29 10:18:52.000000,2026-02-25 11:16:24,,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7,9391.857142857143,9.147704800984698,2024-01-29,2024,16,"Biochemistry, Genetics and Molecular Biology",cross-ecosystem,60,1.6094379124341003,0.2233835225188169
