ecosystem,n_pairs,n_documents,n_unique_libraries,mention_rate,mean_library_age,median_library_age,frac_young_libraries
all,265515,27258,5975,0.075434532888914,8.092631301433064,9.0,0.0649002881193153
py,206597,22828,4168,0.06903778854484818,8.260192548778539,9.0,0.06540269219785379
r,58918,5772,1807,0.0978648290844903,7.505074849791235,8.0,0.06313859940934859
