model_type,n_obs,predictor,coefficient,std_err,p_value,ci_lower,ci_upper
raw,273897,years_since_first_import,-0.19213105482574636,0.10801478834524635,0.07528113737467143,-0.403836149780146,0.01957404012865327
raw,273897,log_cumulative_imports,0.1572615154724895,0.15029305131736387,0.29539215617240533,-0.1373074522361738,0.4518304831811528
controlled,273897,years_since_first_import,-0.2532463428886367,0.1111796363987287,0.02273776339753976,-0.4711544260444034,-0.03533825973286994
controlled,273897,log_cumulative_imports,0.18959154289142618,0.14377045420038023,0.18726606551392655,-0.09219336938228442,0.4713764551651368
age_only,273897,years_since_first_import,-0.08758240691943438,0.018878351437202123,3.4958489743707082e-6,-0.1245832958238405,-0.05058151801502825
popularity_only,273897,log_cumulative_imports,-0.038497688976764276,0.05495572559789805,0.48360143713913406,-0.14620893189291037,0.06921355393938183
