field,n_papers,mean_fraction_mentioned,median_fraction_mentioned,std_fraction_mentioned
Physics and Astronomy,1176,0.13724816885294605,0.03851851851851852,0.20199968658475037
Other,5546,0.11999386139551357,0.05263157894736842,0.17830015285589074
"Biochemistry, Genetics and Molecular Biology",4745,0.11248911945554534,0.03333333333333333,0.1708920788161353
Medicine,1540,0.1083721203729091,0.047619047619047616,0.16500706477578117
overall,27299,0.09278601333609467,0.0,0.15497067346202648
Engineering,1858,0.08424119518178269,0.0,0.14271114689223938
Computer Science,12434,0.06827259919196323,0.0,0.1258253362574293
