usage_type,count,proportion
imports,167820,0.7039104739294747
dependencies,84288,0.35354073427820026
mentions,43671,0.18317527295300973
imports+dependencies,83331,0.3495266577464966
imports+mentions,27317,0.1145794447403853
dependencies+mentions,11955,0.05014449836626666
complete-cases,11711,0.04912105565598903
