document_repository_link_id,document_id,repository_id,document_url,repository_url,predictive_model_confidence,label
439550,432350,426366,https://doi.org/10.17023/r96a-zh25,https://github.com/gracesevillano/rospersp2equi,0.7750641703605652,
407018,399965,393834,https://doi.org/10.1016/j.patcog.2021.108263,https://github.com/neural-structured-additive-learning/deepregression,0.7773326635360718,
419628,412468,406444,https://doi.org/10.1093/aje/kwab245,https://github.com/lucymcgowan/teaching-in-coronavirus-era,0.7787625193595886,
409490,402414,396306,https://doi.org/10.1093/jxb/ery318,https://github.com/tzuhsial/edgar-10k-mda,0.7788670063018799,
387429,380386,374245,https://doi.org/10.1007/978-3-319-10404-1_3,https://github.com/unidesigner/groundtruth-drosophila-vnc,0.7807746529579163,
219664,212886,206480,https://doi.org/10.48550/arxiv.2512.17416,https://github.com/rationai/prostate-cancer,0.7820433378219604,
270149,263242,256965,https://doi.org/10.1103/physrevd.96.122003,https://github.com/adundovi/clibrarian,0.7863580584526062,
402482,395438,389298,https://doi.org/10.1186/s13059-021-02261-x,https://github.com/goekelab/bambu,0.7939921617507935,
393412,386369,380228,https://doi.org/10.2307/jj.9692690.20,https://github.com/langtonhugh/bbc_scrape,0.7966541647911072,
214037,207280,200853,https://doi.org/10.1098/rsta.2019.0335,https://github.com/pints-team/smc,0.8041324019432068,
398025,390982,384841,https://doi.org/10.31234/osf.io/y57z3,https://github.com/debruine/debruine,0.8177170753479004,
421853,414680,408669,https://doi.org/10.1093/mnras/stad812,https://github.com/rossjjennings/cycfold,0.8316570520401001,
266960,260057,253776,https://doi.org/10.3390/ijgi10080549,https://github.com/qimaqi/color_net,0.8369594216346741,
268777,261872,255593,https://doi.org/10.48550/arxiv.2504.05097,https://github.com/fla-org/flame,0.8475666046142578,
457475,450262,444291,https://doi.org/10.3389/fimmu.2025.1505195,https://github.com/jonathanlyj/parallel_metadata,0.8481324911117554,
418735,411584,405551,https://doi.org/10.1177/0962280215623583,https://github.com/ehrlinger/hazard,0.8486190438270569,
484274,477044,471090,https://doi.org/10.18653/v1/2022.bea-1.1,https://github.com/ga642381/neurips2021-sas-react,0.8537166714668274,
393332,386289,380148,https://doi.org/10.1080/11956860.2025.2495427,https://github.com/icrichmond/csee2025-presentation,0.8580516576766968,
497349,490105,484165,https://doi.org/10.21608/ejhc.2023.320739,https://github.com/simulationeverywhere-models/cdpp-hepatitisb-virus,0.8650045394897461,
441377,434174,428193,https://doi.org/10.1109/ipdpsw.2018.00065,https://github.com/janbuchar/mt,0.8660889267921448,
447286,440078,434102,https://doi.org/10.1007/978-3-030-77977-1_40,https://github.com/arabnejad/hidalgo_facs_blueprint,0.8673774600028992,
239544,232715,226360,https://doi.org/10.48550/arxiv.2012.09579,https://github.com/sztoor/model_serving,0.8677200675010681,
303153,296184,289969,https://doi.org/10.1109/iros.2016.7759089,https://github.com/miccol/ros-behavior-tree,0.8730966448783875,
329679,322663,316495,https://doi.org/10.48550/arxiv.2406.18760,https://github.com/lombardata/lombardata,0.874699056148529,
380911,373868,367727,https://doi.org/10.1007/978-3-030-52240-7_57,https://github.com/geiser/learning-analytics-camaleon,0.8758643269538879,
220430,213650,207246,https://doi.org/10.1007/978-3-031-21756-2_31,https://github.com/weiglemc/weiglemc.github.io,0.876502275466919,
386171,379128,372987,https://doi.org/10.1093/cercor/bhab281,https://github.com/emptymalei/deep-learning,0.8810945749282837,
405539,398493,392355,https://doi.org/10.1093/nar/gks1174,https://github.com/ebibiosamples/core_model,0.8818696737289429,
351346,344306,338162,https://doi.org/10.48550/arxiv.2507.18104,https://github.com/berthashipper/algonauts-dsi,0.8892053961753845,
402780,395736,389596,https://doi.org/10.1096/fasebj.2018.32.1_supplement.620.1,https://github.com/combine-org/annotations,0.9169260263442993,
358772,351731,345588,https://doi.org/10.3389/fnins.2023.1155750,https://github.com/cogcommscience-lab/method_counter,0.931992769241333,
439631,432431,426447,https://doi.org/10.1051/e3sconf/202126701058,https://github.com/paddlepaddle/paddle_upgrade_tool,0.9545872211456299,
216726,209959,203542,https://doi.org/10.1117/12.2580288,https://github.com/azurehappen/rinex_nav_obs_parser,0.9618808627128601,
446057,438850,432873,https://doi.org/10.64628/aai.xke3unrsv,https://github.com/phui/tweet_redis,0.9634555578231812,
