random_sample_frac,fieldset,model,accuracy,precision,recall,f1,time_pred
1,dev_name,semantic-logit-deberta-random-neg-pct-100,0.9915966386554622,0.9565217391304348,0.9887640449438202,0.9723756906077348,2.1942523347229515e-06
1,dev_name-dev_email,semantic-logit-deberta-random-neg-pct-100,0.9899159663865547,0.9560439560439561,0.9775280898876404,0.9666666666666667,2.1609939446970194e-06
1,dev_name-dev_email,semantic-logit-bert-multilingual-random-neg-pct-100,0.9815126050420168,0.9333333333333333,0.9438202247191011,0.9385474860335196,2.165401683134191e-06
1,dev_name-dev_email,fine-tune-bert-multilingual-random-neg-pct-100,0.9815126050420168,0.9642857142857143,0.9101123595505618,0.9364161849710984,0.04834130110860873
1,dev_name,fine-tune-bert-multilingual-random-neg-pct-100,0.9815126050420168,0.975609756097561,0.898876404494382,0.935672514619883,0.050843966508112036
1,dev_name,semantic-logit-bert-multilingual-random-neg-pct-100,0.973109243697479,0.9195402298850575,0.898876404494382,0.9090909090909091,2.8626257631959034e-06
1,dev_name-dev_email,semantic-logit-bert-uncased-random-neg-pct-100,0.9697478991596639,0.9080459770114943,0.8876404494382022,0.8977272727272727,2.1858375613428964e-06
1,dev_name,fine-tune-bert-uncased-random-neg-pct-100,0.9680672268907563,0.9069767441860465,0.8764044943820225,0.8914285714285715,0.04967599756577436
1,dev_name,semantic-logit-bert-uncased-random-neg-pct-100,0.9613445378151261,0.8837209302325582,0.8539325842696629,0.8685714285714285,2.191046706768645e-06
1,dev_email,semantic-logit-deberta-random-neg-pct-100,0.9529411764705882,0.801980198019802,0.9101123595505618,0.8526315789473684,2.2102804744944855e-06
1,dev_name,semantic-logit-distilbert-random-neg-pct-100,0.9546218487394958,0.8297872340425532,0.8764044943820225,0.8524590163934426,2.2114825849773505e-06
1,dev_name,fine-tune-gte-random-neg-pct-100,0.9428571428571428,0.7350427350427351,0.9662921348314607,0.8349514563106796,0.04716150179630568
1,,semantic-logit-deberta-random-neg-pct-100,0.9512605042016806,0.8658536585365854,0.797752808988764,0.8304093567251462,2.280403585994945e-06
1,dev_name-dev_email,semantic-logit-distilbert-random-neg-pct-100,0.9411764705882353,0.78125,0.8426966292134831,0.8108108108108107,2.5288397524537158e-06
1,dev_name,fine-tune-bge-random-neg-pct-100,0.9294117647058824,0.7043478260869566,0.9101123595505618,0.7941176470588236,0.048558317713376854
1,dev_name,fine-tune-distilbert-random-neg-pct-100,0.9226890756302522,0.6776859504132231,0.9213483146067416,0.7809523809523808,0.025706996436880417
1,dev_name,semantic-logit-mpnet-random-neg-pct-100,0.934453781512605,0.7840909090909091,0.7752808988764045,0.7796610169491526,2.605374119862789e-06
1,dev_name-dev_email,fine-tune-bert-uncased-random-neg-pct-100,0.9176470588235294,0.6694915254237288,0.8876404494382022,0.7632850241545893,0.053967615736632786
1,,fine-tune-deberta-random-neg-pct-100,0.9411764705882353,0.9821428571428571,0.6179775280898876,0.7586206896551723,0.10941382215804413
1,dev_name-dev_email,semantic-logit-mpnet-random-neg-pct-100,0.9226890756302522,0.7216494845360825,0.7865168539325843,0.7526881720430109,4.6032817423844535e-06
1,dev_name-dev_email,semantic-logit-bge-random-neg-pct-100,0.9058823529411765,0.6460176991150443,0.8202247191011236,0.7227722772277227,2.5881438696083904e-06
1,,semantic-logit-bert-multilingual-random-neg-pct-100,0.907563025210084,0.67,0.7528089887640449,0.708994708994709,2.206273439551602e-06
1,dev_name,semantic-logit-bge-random-neg-pct-100,0.907563025210084,0.6770833333333334,0.7303370786516854,0.7027027027027027,2.1846354508600314e-06
