ecosystem,model_type,n_obs,predictor,coefficient,std_err,p_value,ci_lower,ci_upper
combined,raw,19305,document_atypicality_z_score,-0.22224336521415983,0.013493102224337772,5.939286428149885e-61,-0.24868935961357916,-0.1957973708147405
combined,controlled,19305,document_atypicality_z_score,-0.04334608753988953,0.01984898599389276,0.02897742194703878,-0.08224938521755931,-0.0044427898622197495
cross-ecosystem,raw,685,document_atypicality_z_score,-0.07887873079782512,0.052294545737653915,0.13146373638747338,-0.1813741570315094,0.023616695435859147
cross-ecosystem,controlled,685,document_atypicality_z_score,0.002271746713983478,0.08058931597433049,0.9775112671044451,-0.15568041013442274,0.1602239035623897
py,raw,16285,document_atypicality_z_score,-0.23339024372485692,0.015179232926481769,2.38518239677498e-53,-0.26314099357370574,-0.20363949387600813
py,controlled,16285,document_atypicality_z_score,-0.009058627718880694,0.022491188897989057,0.6871222881711061,-0.05314054792842636,0.035023292490664965
r,raw,2335,document_atypicality_z_score,-0.20733461081717672,0.03396122741283046,1.0277571609011375e-9,-0.27389739341709884,-0.14077182821725462
r,controlled,2335,document_atypicality_z_score,-0.07431931944053909,0.05007225452260964,0.13774485696733338,-0.17245913492957682,0.023820496048498646
