ecosystem,n_papers,mean_fraction_mentioned,median_fraction_mentioned,mean_n_imported,mean_atypicality_z,std_atypicality_z
all,19305,0.0878375514656453,0.0,10.007407407407408,-0.04501455558896105,0.9958974123001099
cross-ecosystem,685,0.09235714330000516,0.0625,15.842335766423357,-0.07478477696099584,1.0232875347137451
py,16285,0.08140766789300061,0.0,9.57660423702794,-0.046888943454121076,0.9918867349624634
r,2335,0.1313556386493637,0.07142857142857142,11.300214132762312,-0.02320855643522449,1.015537142753601
